epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,94.9707,0.50958,1.07629,0.84905,0.98041,0.99886,0.995,0.85796,0.56324,0.74785,0.81912,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,97.7959,0.58734,1.00842,0.85292,0.98018,1,0.995,0.85605,0.54524,0.7444,0.81348,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,101.234,0.53289,1.09472,0.86807,0.97605,1,0.995,0.86374,0.58701,0.75787,0.81216,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,104.211,0.47895,0.97406,0.841,0.97563,1,0.995,0.85575,0.56526,0.73921,0.81321,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,107.03,0.55411,1.10794,0.86318,0.97732,1,0.995,0.86558,0.5431,0.72484,0.81226,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,110.031,0.52831,1.08615,0.85569,0.97785,1,0.995,0.86824,0.55699,0.72191,0.81541,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,113.191,0.54141,1.02098,0.83661,0.98047,1,0.995,0.86096,0.59622,0.72154,0.82252,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,116.067,0.5434,1.09864,0.86533,0.97985,1,0.995,0.85354,0.59311,0.7103,0.82188,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,118.977,0.5337,1.04156,0.87686,0.97941,1,0.995,0.85896,0.59454,0.6973,0.82042,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,122.165,0.45146,1.05345,0.81901,0.9782,1,0.995,0.84555,0.56724,0.70378,0.81988,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,125.351,0.45601,0.96557,0.85049,0.97862,1,0.995,0.85082,0.55496,0.68664,0.81715,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,128.038,0.40457,1.18653,0.82539,0.97871,1,0.995,0.84371,0.56833,0.67803,0.8186,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,130.707,0.42417,1.14476,0.82092,0.97896,1,0.995,0.84274,0.57788,0.67286,0.81908,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,133.483,0.39931,1.13032,0.8028,0.97833,1,0.995,0.83971,0.59336,0.68501,0.81879,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,136.421,0.39997,1.17575,0.8082,0.97778,1,0.995,0.85043,0.61133,0.69739,0.81801,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,139.05,0.39509,1.15727,0.80587,0.97744,1,0.995,0.83741,0.60293,0.68435,0.81939,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,141.857,0.42457,1.1639,0.81137,0.97754,1,0.995,0.83162,0.59538,0.67225,0.82023,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,144.531,0.45579,1.16967,0.84174,0.97716,1,0.995,0.82887,0.58469,0.6646,0.8196,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,147.404,0.40229,1.12691,0.83673,0.9771,1,0.995,0.8282,0.58567,0.66978,0.81691,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,150.105,0.41123,1.16681,0.81368,0.97715,1,0.995,0.8282,0.58741,0.67154,0.81453,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,152.938,0.3968,1.13532,0.81476,0.97782,1,0.995,0.83846,0.59389,0.66927,0.81388,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
