epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.9969,0.69865,3.88107,0.98762,0.00294,0.89286,0.08765,0.06832,0.41017,3.32827,0.87237,0.000825,0.000275,0.000825,0.000275,0.000825,0.000275,0.000825,0.000275
2,19.024,0.61587,3.62324,0.94027,0.00295,0.89286,0.2183,0.1982,0.36441,3.26522,0.86306,0.00165409,0.000551362,0.00165409,0.000551362,0.00165409,0.000551362,0.00165409,0.000551362
3,27.4659,0.55086,3.32496,0.92111,0.45943,0.3597,0.36594,0.34204,0.40238,2.94967,0.87643,0.00244902,0.00081634,0.00244902,0.00081634,0.00244902,0.00081634,0.00244902,0.00081634
4,35.0081,0.5097,2.66236,0.89074,0.51583,0.70056,0.5817,0.50105,0.47278,1.84336,0.91321,0.0032098,0.00106993,0.0032098,0.00106993,0.0032098,0.00106993,0.0032098,0.00106993
5,41.9682,0.48392,2.33584,0.89677,0.87942,0.6044,0.72755,0.63434,0.48873,1.51541,0.94127,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,49.7702,0.53366,1.88354,0.90717,0.67174,0.68928,0.76256,0.65885,0.46215,1.23495,0.9343,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,57.0418,0.49991,1.5964,0.87998,0.86395,0.72024,0.79222,0.70583,0.44165,1.14358,0.92449,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,64.6177,0.49584,1.42804,0.88339,0.92404,0.84078,0.92949,0.8139,0.43267,0.94338,0.91674,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,72.2029,0.49248,1.30537,0.88947,0.90349,0.97971,0.98722,0.86142,0.44182,0.94269,0.90668,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,80.0115,0.45722,1.28625,0.88716,0.93167,1,0.99063,0.84671,0.45343,0.92194,0.93307,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,87.3729,0.47007,1.21866,0.89514,0.98384,0.9924,0.995,0.87065,0.40171,0.85253,0.88784,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,95.088,0.47874,1.15299,0.88904,0.97618,1,0.995,0.85986,0.39936,0.78749,0.89253,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,102.625,0.42081,1.04653,0.87591,0.97375,1,0.995,0.86278,0.39275,0.76955,0.89452,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,109.954,0.45284,1.05932,0.88631,0.98138,0.99152,0.995,0.85094,0.40786,0.7599,0.91062,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,117.612,0.44243,1.04086,0.8644,0.9786,0.99167,0.995,0.86459,0.39256,0.72143,0.89864,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,125.157,0.43904,0.98735,0.87788,0.97624,0.95883,0.99063,0.86378,0.39899,0.73202,0.88384,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,132.953,0.40723,0.9314,0.86677,0.92633,1,0.99063,0.87633,0.38572,0.70881,0.89943,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
18,140.552,0.42577,0.97506,0.86741,0.98873,0.927,0.98222,0.84608,0.37088,0.69603,0.89017,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
19,148.262,0.4362,0.93419,0.87051,0.93195,0.9924,0.98188,0.85952,0.38008,0.72192,0.8831,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
